RowNumber,CustomerId,Surname,Geography,Gender,Age
1,15634602,Hargrave,West,Female,42
2,15647311,Hill,Central,Female,41
3,15619304,Onio,West,Female,42
4,15701354,Boni,West,Female,39
5,15737888,Mitchell,Central,Female,43
6,15574012,Chu,Central,Male,44
7,15592531,Bartlett,West,Male,50
8,15656148,Obinna,East,Female,29
9,15792365,He,West,Male,44
10,15592389,H?,West,Male,27
11,15767821,Bearce,West,Male,31
12,15737173,Andrews,Central,Male,24
13,15632264,Kay,West,Female,34
14,15691483,Chin,West,Female,25
15,15600882,Scott,Central,Female,35
16,15643966,Goforth,East,Male,45
17,15737452,Romeo,East,Neutral,58
18,15788218,Henderson,Central,Female,24
19,15661507,Muldrow,Central,Male,45
20,15568982,Hao,West,Female,24
21,15577657,McDonald,West,Male,41
22,15597945,Dellucci,Central,Female,32
23,15699309,Gerasimov,Central,Female,38
24,15725737,Mosman,West,Male,46
25,15625047,Yen,West,Female,38
26,15738191,Maclean,West,Male,25
27,15736816,Young,East,Male,36
28,15700772,Nebechi,West,Male,190
29,15728693,McWilliams,East,Female,43
30,15656300,Lucciano,West,Male,29
31,15589475,Azikiwe,Central,Female,39
32,15706552,Odinakachukwu,West,Male,36
33,15750181,Sanderson,East,Male,41
34,15659428,Maggard,Central,Neutral,42
35,15732963,Clements,Central,Female,29
36,15794171,Lombardo,West,Female,45
37,15788448,Watson,Central,Male,31
38,15729599,Lorenzo,Central,Male,33
39,15717426,Armstrong,West,Male,36
40,15585768,Cameron,East,Male,41
41,15619360,Hsiao,Central,Male,40
42,15738148,Clarke,West,Female,51
43,15687946,Osborne,West,Female,61
44,15755196,Lavine,West,Female,49
45,15684171,Bianchi,Central,Female,61
46,15754849,Tyler,East,Female,32
47,15602280,Martin,East,Female,27
48,15771573,Okagbue,East,Female,39
49,15766205,Yin,East,Male,38
50,15771873,Buccho,East,Female,37
51,15616550,Chidiebele,East,Male,44
52,15768193,Trevisani,East,Male,36
53,15683553,O'Brien,West,Female,33
54,15702298,Parkhill,East,Male,41
55,15569590,Yoo,East,Male,42
56,15760861,Phillipps,West,Male,43
57,15630053,Tsao,West,Male,45
58,15647091,Endrizzi,East,Male,19
59,15623944,T'ien,Central,Female,66
60,15804771,Velazquez,West,Male,51
61,15651280,Hunter,East,Male,35
62,15773469,Clark,East,Female,27
63,15702014,Jeffrey,Central,Male,33
64,15751208,Pirozzi,Central,Male,56
65,15592461,Jackson,East,Male,26
66,15789484,Hammond,East,Female,36
67,15696061,Brownless,East,Female,34
68,15641582,Chibugo,East,Male,43
69,15638424,Glauert,East,Female,35
70,15755648,Pisano,West,Female,21
71,15703793,Konovalova,East,Male,58
72,15620344,McKee,West,Male,29
73,15812518,Palermo,Central,Female,37
74,15779052,Ballard,East,Female,25
75,15770811,Wallace,West,Male,36
76,15780961,Cavenagh,West,Female,21
77,15614049,Hu,West,Male,55
78,15662085,Read,West,Female,32
79,15575185,Bushell,Central,Male,33
80,15803136,Postle,East,Female,41
81,15706021,Buley,West,Female,34
82,15663706,Leonard,West,Female,32
83,15641732,Mills,West,Female,36
84,15701164,Onyeorulu,West,Female,34
85,15738751,Beit,West,Female,46
86,15805254,Ndukaku,Central,Neutral,75
87,15762418,Gant,Central,Male,22
88,15625759,Rowley,West,Male,30
89,15622897,Sharpe,West,Female,46
90,15767954,Osborne,East,Female,28
91,15757535,Heap,Central,Female,44
92,15731511,Ritchie,West,Male,45
93,15809248,Cole,West,Female,36
94,15640635,Capon,West,Neutral,29
95,15676966,Capon,Central,Male,42
96,15699461,Fiorentini,Central,Male,35
97,15738721,Graham,Central,Male,41
98,15693683,Yuille,East,Male,29
99,15604348,Allard,Central,Male,22
100,15633059,Fanucci,West,Male,34
101,15808582,Fu,West,Female,40
102,15743192,Hung,West,Female,44
103,15580146,Hung,West,Male,31
104,15776605,Bradley,Central,Male,36
105,15804919,Dunbabin,Central,Female,65
106,15613854,Mauldon,Central,Female,46
107,15599195,Stiger,East,Male,32
108,15812878,Parsons,East,Female,36
109,15602312,Walkom,Central,Male,33
110,15744689,T'ang,East,Male,35
111,15803526,Eremenko,East,Male,30
112,15665790,Rowntree,East,Male,39
113,15715951,Thorpe,West,Male,42
114,15591100,Chiemela,Central,Male,36
115,15609618,Fanucci,East,Male,28
116,15675522,Ko,East,Female,30
117,15705512,Welch,East,Female,37
118,15698028,Duncan,West,Female,41
119,15661670,Chidozie,East,Female,31
120,15600781,Wu,East,Male,34
121,15682472,Culbreth,West,Male,34
122,15580203,Kennedy,Central,Male,39
123,15690673,Cameron,West,Female,39
124,15760085,Calabresi,East,Female,48
125,15779659,Zetticci,West,Female,28
126,15627360,Fuller,West,Male,42
127,15671137,MacDonald,West,Female,52
128,15782688,Piccio,East,Male,56
129,15575492,Kennedy,West,Female,41
130,15591607,Fernie,West,Male,24
131,15740404,He,West,Female,34
132,15718369,Kaodilinakachukwu,East,Female,33
133,15677871,Cocci,West,Male,38
134,15642004,Alekseeva,West,Male,25
135,15712543,Chinweike,East,Male,39
136,15584518,Arthur,East,Female,50
137,15802381,Li,East,Female,34
138,15610156,Ma,West,Male,40
139,15594408,Chia,Central,Female,48
140,15640905,Vasin,Central,Female,35
141,15698932,Groves,East,Male,44
142,15724944,Tien,West,Male,34
143,15628145,Forwood,West,Female,43
144,15713483,Greeves,Central,Male,52
145,15612350,Taylor,West,Female,31
146,15800703,Madukwe,Central,Female,21
147,15705707,Bennelong,Central,Female,29
148,15754105,Olisanugo,West,Male,37
149,15703264,Chukwufumnanya,West,Male,44
150,15794413,Harris,West,Male,32
151,15650237,Morgan,Central,Female,32
152,15759618,Alexeeva,West,Female,48
153,15811589,Metcalfe,Central,Male,42
154,15689044,Humphries,West,Male,37
155,15709368,Milne,West,Female,43
156,15679145,Chou,Central,Male,57
157,15655007,Li,West,Female,33
